State,CMS Certification Number (CCN),Provider Name,Address,City,Zip,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients’ care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients’ risk of falling,How often the home health team checked patients for depression,How often the home health team determined whether patients received a flu shot for the currnet flu season,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot),"With diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care",How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients’ breathing improved,How often patients’ wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted","How often home health patients, who have had a recent hospital stay, had to be re-admitted to the hospital","How often home health patients, who have had a recent hospital stay, received care in the hospital emergency room without being readmitted to the hospital",HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family"
AL,17034,COMFORT CARE COASTAL HOME HEALTH,1390 NORTH MCKENZIE STREET,FAIRHOPE,36532,Non - Profit Religious,Yes,Yes,Yes,Yes,No,Yes,3.5,96.2,98.2,99.9,99.9,74.1,80.5,98.7,61.5,60.9,71.5,76.5,67.6,90.1,56.8,16.4,10.4,Same As Expected,Same As Expected,4,4,90,4,87,5,91,3,85,82
AL,17035,INFIRMARY HOMECARE,1142-A MONTLIMAR DRIVE,MOBILE,36609,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,97.7,99.7,100,99.8,79.2,75,99.4,76.2,75.1,82.2,85.4,84.8,92.2,75.1,17.2,8.7,Same As Expected,Better Than Expected,4,4,88,4,86,3,83,3,84,79
AL,17037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,36109,Proprietary,Yes,Yes,Yes,Yes,No,Yes,4,94.9,97.5,100,98.2,71.1,66.2,98.4,75.6,75.6,82.6,86.3,81.4,94.7,75,16.4,12.5,Same As Expected,Same As Expected,3,4,90,4,87,2,81,3,84,83
AL,17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,35801,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,92.1,98.8,99,93.4,78.9,73.2,91.9,72.9,63.2,77.8,74.2,79.2,92.5,66.7,21.1,15.5,Worse Than Expected,Worse Than Expected,3,3,85,3,84,3,84,2,76,69
AL,17041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,35216,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,96.9,98.4,100,99,59.3,61.1,97.6,69,67.2,73.5,74.5,78.3,,57.1,16.2,18.7,Not Available,Not Available,3,4,87,3,81,2,81,1,73,59
AL,17048,GENTIVA HEALTH SERVICES,101 NORTH LINCOLN STREET,GENEVA,36340,Proprietary,Yes,Yes,Yes,Yes,No,Yes,4,99.2,98.1,99.8,99.7,74.2,79.6,97.4,69.6,63.3,77.9,81.7,82.2,90.4,58.2,16.6,16.8,Same As Expected,Worse Than Expected,5,5,92,5,92,4,88,4,93,88
AL,17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,35816,Proprietary,Yes,Yes,Yes,No,Yes,Yes,3.5,92.1,98.2,100,98.2,77.5,87.7,99.1,77.1,66.9,77.1,82.1,71.8,96.8,55.2,21.1,11.6,Same As Expected,Worse Than Expected,4,5,95,3,84,3,83,5,98,94
AL,17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,35209,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,88.7,97.6,99.3,96.5,78.6,82.9,86.4,67.5,61.9,75.4,78.3,84.6,89.2,59.1,15.1,10.7,Same As Expected,Worse Than Expected,4,4,90,4,87,3,83,3,86,84
AL,17052,KINDRED AT HOME,1628 NORTH MCKENZIE STREET,FOLEY,36535,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,96.5,97.9,100,99.3,86.6,91.1,99.6,70.4,62,78.7,68.7,76,95.2,62.1,15.2,14.9,Worse Than Expected,Same As Expected,4,4,91,5,90,4,87,4,89,85
AL,17053,ENCOMPASS HOME HEALTH OF ALABAMA,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,36305,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,95.9,98.6,99.8,98.4,73.6,75.6,94.5,84,80.4,86.3,82.7,85,94,75.3,17.1,14.4,Worse Than Expected,Worse Than Expected,5,5,92,5,91,4,89,4,90,87
AL,17054,GENTIVA HEALTH SERVICES,1108 EAST PARK DRIVE,BIRMINGHAM,35235,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,91.7,96.3,99.9,98.4,76.4,80,98.5,68.4,62.7,73.7,76.1,79.2,82.2,56.8,17.2,11.5,Worse Than Expected,Same As Expected,3,3,88,4,85,3,83,3,80,79
AL,17055,GENTIVA HEALTH SERVICES,1988 HIGHWAY 14 EAST,PRATTVILLE,36066,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,95.1,98.8,99.8,99.9,74.6,74.4,96.3,65.2,60.2,70.3,74.7,70.5,86.7,51,16.4,8,Worse Than Expected,Better Than Expected,4,4,91,5,90,3,85,4,89,86
AL,17056,GENTIVA HEALTH SERVICES,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,36064,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,91.7,98,100,99.3,80.4,73.9,94.7,71,64.4,76.3,80.6,75.4,90.9,57.7,21.2,12.1,Same As Expected,Same As Expected,3,3,87,3,84,3,85,3,81,77
AL,17058,KINDRED AT HOME,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,36526,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,95.8,98.3,100,96,83.9,84.7,98.3,68.6,65.2,79.8,72.5,79.3,92.7,59.9,19.5,12.8,Same As Expected,Same As Expected,5,5,92,5,90,5,91,4,89,87
AL,17063,INTREPID USA HEALTHCARE SERVICES,"200 CENTURY PARK SOUTH, SUITE 116",BIRMINGHAM,35226,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2,81.2,88.6,98.4,98.9,54.1,63.5,96.5,67.5,50.7,64.4,55.3,51.8,95,56.7,20.1,11,Same As Expected,Same As Expected,4,4,90,3,84,5,91,3,88,72
AL,17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,36607,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,97.6,98.4,99.7,99.7,63,67.4,99.1,62.6,53,72.1,67,62.3,97.4,56.4,24.1,8.8,Worse Than Expected,Same As Expected,4,5,91,4,88,3,84,4,90,84
AL,17067,INTREPID USA HEALTHCARE SERVICES,"4141 WALL STREET, SUITE 4141",MONTGOMERY,36106,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2,95.1,85.6,99.6,94.5,64.2,77.1,89.1,60.7,57,55.7,66.7,50.2,97.7,46.3,21,12.3,Same As Expected,Worse Than Expected,4,5,92,5,87,3,83,4,91,86
AL,17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,36535,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,95.5,98,99.2,92.6,72.6,64.9,88.2,76.2,70,81.5,79,79.1,94.9,66.6,20.2,12.8,Worse Than Expected,Same As Expected,5,5,91,5,90,5,92,4,88,87
AL,17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,36522,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,95.7,99.3,98.3,92.2,79,58.9,86.4,73.5,59.3,77.7,75.4,80.9,90.5,56.7,17.1,12.4,Same As Expected,Same As Expected,4,5,90,4,84,4,87,4,87,78
AL,17071,GENTIVA HEALTH SERVICES,20 ALMON DRIVE SUITE C,MOULTON,35650,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,95.8,98.2,100,98.1,82.5,83,95.9,76.3,69.9,81.5,77.3,80.3,91,63.7,18.8,12,Same As Expected,Same As Expected,5,5,92,5,91,5,91,4,89,90
AL,17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,36037,Proprietary,Yes,Yes,Yes,No,No,Yes,3.5,96.9,94.1,98.2,92.6,67.1,60.3,93.2,78.7,69.1,78.2,69.4,71.4,,73.9,20.5,11.1,Same As Expected,Same As Expected,4,3,85,4,85,4,89,3,81,79
AL,17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,35481,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,96.2,99.4,99.6,99,75.4,75.1,98.7,80.6,67.1,78.4,73.3,71.7,94.5,59.6,17.4,15.5,Same As Expected,Same As Expected,5,5,95,5,94,5,93,5,96,96
AL,17079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,35592,Proprietary,Yes,Yes,No,No,No,Yes,3.5,92.5,96.2,98.8,100,68.7,94.3,100,60.6,74,73.4,84.7,76.1,,58.5,19.2,18,Same As Expected,Same As Expected,Not Available,Not Available,97,Not Available,92,Not Available,77,Not Available,98,92
AL,17080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,35401,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,3,84.8,99,99.9,99.3,74.1,75.8,99.6,72.1,66,71,70.8,68.8,95,69.8,19.1,9.3,Worse Than Expected,Same As Expected,5,5,93,5,93,4,88,5,92,89
AL,17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,35042,Proprietary,Yes,Yes,No,No,No,Yes,2.5,97.6,97.1,100,99.6,87.9,39.3,98.2,61.9,54.4,55.8,44.8,46.9,,52.8,18.5,5.3,Not Available,Not Available,Not Available,Not Available,89,Not Available,88,Not Available,81,Not Available,86,84
AL,17084,GENTIVA  HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,36701,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,97,99.2,100,99.4,95.5,93.8,100,78.1,67.2,82.9,90.7,90.7,91.9,74.3,19.2,11.7,Same As Expected,Same As Expected,4,4,89,5,89,3,83,3,85,83
AL,17085,COOSA VALLEY HOMECARE,"209 WEST SPRING STREET, SUIT 305",SYLACAUGA,35150,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,97.9,99.4,100,100,59.3,75.1,96.7,79.5,80.9,81.8,88,83.1,92.9,73.1,15.8,10.4,Same As Expected,Same As Expected,4,5,94,5,90,3,86,4,89,88
AL,17086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,36726,Proprietary,Yes,Yes,No,Yes,Yes,Yes,4.5,97.8,100,100,99.7,50.2,41.7,99.4,85.2,78,80.5,83.7,86.8,98.2,64.9,20.2,15.5,Worse Than Expected,Same As Expected,5,5,94,5,92,5,91,5,92,83
AL,17088,FAYETTE MEDICAL CENTER HOMECARE,1653 TEMPLE AVENUE,FAYETTE,35555,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,99.2,99.6,100,100,64,60.7,98.8,73.4,73.2,84.1,84.7,77.4,90.9,63.5,15.7,16.9,Same As Expected,Same As Expected,5,5,95,5,94,5,92,5,94,94
AL,17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,1792 ALABAMA HWY 157 NE,CULLMAN,35058,Non - Profit Other,Yes,Yes,Yes,No,Yes,Yes,4,98.3,99.3,100,100,92.4,94.3,100,61.6,72.8,64.7,49.4,70.8,91.1,63,13,9.8,Worse Than Expected,Same As Expected,5,5,93,5,93,4,90,5,95,91
AL,17090,GENTIVA HEALTH SERVICES,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,36908,Proprietary,Yes,Yes,No,No,No,Yes,4.5,98.2,99.5,100,100,65.5,71.3,99.6,75.6,70.3,80.5,79.4,78.8,83.7,64.4,16.2,15.7,Same As Expected,Worse Than Expected,4,5,91,5,89,3,84,4,87,87
AL,17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,36744,Government - State/ County,Yes,Yes,Yes,Yes,No,Yes,4.5,99.7,99.3,100,100,55.5,53.8,100,100,88.6,100,99,100,100,100,15.6,15.4,Same As Expected,Same As Expected,5,5,94,4,88,4,90,5,92,89
AL,17092,MEDICAL CENTER HOME HEALTH,194 WILLIAM E HILL DRIVE,CARROLLTON,35447,Government - State/ County,Yes,Yes,Yes,Yes,No,Yes,3,96.6,100,100,100,70.5,84.7,97.6,58.5,38,57.6,67.5,59.9,,43.8,13.5,13.6,Same As Expected,Same As Expected,5,5,95,5,93,5,95,4,88,88
AL,17093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,35968,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,5,98.1,99.5,100,100,91.6,92,98.9,79.8,81.1,93.3,85.3,85.2,93.9,81.7,13.1,12.1,Same As Expected,Same As Expected,5,5,95,5,94,4,88,4,88,83
AL,17094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,35960,Proprietary,Yes,Yes,Yes,No,Yes,Yes,3.5,92.5,97.7,100,95.2,61.5,83.2,100,74.6,66.1,77.9,83,50.7,,53.8,17.6,9.2,Worse Than Expected,Same As Expected,5,5,94,5,92,4,89,4,92,85
AL,17095,ATHENS-LIMESTONE HOMECARE,"725 WEST MARKET STREET, SUITE A",ATHENS,35611,Proprietary,Yes,Yes,Yes,Yes,No,Yes,4.5,99.1,100,100,100,72.7,77.8,99.8,82.7,77,86.5,83,76.6,95.9,72.1,16.7,13.2,Same As Expected,Worse Than Expected,5,5,92,5,89,4,87,4,87,83
AL,17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,798 HIGHWAY 231 SOUTH,TROY,36081,Government - Local,Yes,Yes,Yes,Yes,No,Yes,5,98.6,100,100,100,63.8,59.3,99.6,85.1,75.7,86.8,90.6,89.5,92.9,82.4,15.8,19.2,Same As Expected,Worse Than Expected,3,3,87,3,85,3,84,2,80,76
AL,17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,36251,Proprietary,Yes,Yes,Yes,No,No,Yes,4.5,98.6,99.5,100,100,74.3,73.4,99.5,82.9,95.2,80.5,86.1,77.3,80.5,65.6,16.5,12.9,Same As Expected,Same As Expected,4,5,92,4,89,4,88,4,89,86
AL,17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,35570,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,97.8,97.8,100,99.3,67.8,80,98.4,76.1,75.9,84.3,86.5,78.4,,72.7,15.2,18.5,Same As Expected,Worse Than Expected,5,5,94,5,90,5,91,5,92,89
AL,17101,HEALTH NOW HOME HEALTH,751 DERBY DRIVE,YORK,36925,Proprietary,Yes,No,No,No,No,Yes,1.5,81.5,100,83.9,98.5,25,13.8,100,45.1,22.4,33.1,41.8,22.9,,52.3,32.4,12.8,Not Available,Not Available,Not Available,Not Available,88,Not Available,86,Not Available,73,Not Available,91,87
AL,17102,ALABAMA HOMECARE,"607 WILSON AVENUE, SUITE 3",EUTAW,35462,Non - Profit Other,Yes,Yes,No,Yes,No,No,2.5,96.1,99.2,100,100,41,34.1,100,60.9,64.6,67.4,60.6,57.3,,44.7,23.3,10.8,Not Available,Not Available,Not Available,Not Available,90,Not Available,85,Not Available,90,Not Available,87,87
AL,17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,105 HIGHWAY 80 EAST,DEMOPOLIS,36732,Government - Combination Government & Voluntary,Yes,Yes,Yes,Yes,No,Yes,2.5,90,98.9,99.4,100,29.6,39.6,98.9,63.3,47.6,63.7,58.6,71.5,,49.7,17.4,6,Worse Than Expected,Same As Expected,5,5,92,5,87,4,87,4,89,93
AL,17104,HIGHLANDS HOME HEALTH,309 PARKS AVENUE,SCOTTSBORO,35768,Government - State/ County,Yes,Yes,Yes,Yes,No,Yes,3,99.2,97.2,100,100,79.9,81.5,100,67.8,59.3,68,56.6,67.7,88.9,47.8,19.9,11.5,Same As Expected,Same As Expected,5,5,95,5,93,5,93,5,93,86
AL,17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,36401,Proprietary,Yes,No,No,No,No,Yes,3,86.8,100,100,99.7,89.8,95.7,100,79.2,58.3,71.3,53.9,39,,63.4,28.1,12.8,Worse Than Expected,Same As Expected,5,5,95,5,89,5,91,5,96,94
AL,17107,SUNCREST HOME HEALTH,222 7TH STREET SOUTH,CLANTON,35045,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,96.1,93.5,100,99.4,81.5,77.3,99.7,78.4,74.5,77.8,88.9,80.5,97.7,58.5,16,8.3,Worse Than Expected,Better Than Expected,5,5,93,5,91,4,90,4,90,90
AL,17109,NORTHWEST HOME HEALTH - HALEYVILLE,42030 HIGHWAY 195 SUITE D,HALEYVILLE,35565,Proprietary,Yes,Yes,Yes,Yes,No,Yes,3,97.8,95.1,96.7,88.3,64.5,74.5,95.5,80,65.1,71,39,61.5,,45.2,23.6,8.2,Better Than Expected,Same As Expected,5,5,95,5,94,5,91,5,95,96
AL,17112,JACKSON MEDICAL CENTER HOME HEALTH,3748N COLLEGE AVENUE,JACKSON,36545,Proprietary,Yes,Yes,No,No,No,Yes,4,99.3,98.3,99.6,99.7,72.8,83.2,95.1,80.5,68,76.1,76,77.4,,63.3,14.2,12.8,Same As Expected,Same As Expected,5,5,95,5,90,5,91,4,91,84
AL,17115,GADSDEN REGIONAL HOME HEALTH,301 S 4TH STREET,GADSDEN,35901,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,96.2,97,99.4,98,78.6,75.7,97.8,77,67.9,79.6,77.8,82.8,100,63.4,15.8,12.2,Same As Expected,Worse Than Expected,3,4,90,4,88,2,80,3,87,85
AL,17116,IVY CREEK HOME HEALTH OF ELMORE,500 HOSPITAL DRIVE,WETUMPKA,36092,Proprietary,Yes,Yes,Yes,Yes,No,Yes,3.5,86.9,98.1,100,100,57.8,68.4,99.7,69,63,75.8,81,75.6,96.9,66.5,17.3,9.4,Same As Expected,Same As Expected,5,5,94,5,90,4,87,4,89,84
AL,17117,LAKE MARTIN HOME HEALTH,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,36853,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,87.9,94.7,99.3,99.8,49.6,72.4,98,68.8,52,71.7,47.8,47.1,98.9,57.4,15.6,17.6,Worse Than Expected,Worse Than Expected,4,5,92,4,87,2,82,4,89,87
AL,17118,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER","15190 COURT STREET, SUITE B",MOULTON,35650,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,92.1,98.1,99.7,97,87.8,90.1,98.4,84.5,74.8,85.2,78.2,82.8,95.4,69.1,17.8,13.6,Same As Expected,Same As Expected,5,5,94,5,94,5,91,5,97,92
AL,17119,HUNTSVILLE HOSPITAL HOMECARE,"500 BOULEVARD SOUTH SW, SUITE 203",HUNTSVILLE,35802,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,98.2,99,99.9,99.5,72.2,78.3,97.3,70.8,68.5,76.4,79.2,76.9,97.8,59.6,16.3,13.3,Same As Expected,Worse Than Expected,4,4,89,4,86,3,86,3,82,81
AL,17121,GENTIVA HEALTH SERVICES,1309 ANTIOCH ROAD,ANDALUSIA,36420,Proprietary,Yes,Yes,Yes,Yes,No,Yes,4,97.7,98.5,100,100,79.6,85.2,97.4,71,64.3,78.3,85.7,73.9,89.5,61.9,19.3,11.5,Same As Expected,Worse Than Expected,5,5,94,5,91,4,90,4,91,89
AL,17123,EAMC - LANIER HOME HEALTH,1806 44TH ST.,VALLEY,36854,Proprietary,Yes,Yes,Yes,Yes,No,Yes,4.5,99.2,99.4,100,100,70.7,61.7,100,77.7,69.7,84,89.3,80.3,100,69.2,17.1,12.3,Same As Expected,Same As Expected,4,5,92,4,88,4,90,4,89,84
